GEO_ID,NAME,P2_001N,P2_002N,P2_003N,P2_004N
1400000US09001010101,"Census Tract 101.01, Fairfield County, Connecticut",4401,1778,2623,0
1400000US09001010102,"Census Tract 101.02, Fairfield County, Connecticut",4276,1746,2530,0
1400000US09001010201,"Census Tract 102.01, Fairfield County, Connecticut",3395,3211,184,0
1400000US09001010202,"Census Tract 102.02, Fairfield County, Connecticut",5904,5904,0,0
1400000US09001010300,"Census Tract 103, Fairfield County, Connecticut",4370,4370,0,0
1400000US09001010400,"Census Tract 104, Fairfield County, Connecticut",5716,5716,0,0
1400000US09001010500,"Census Tract 105, Fairfield County, Connecticut",6570,6570,0,0
1400000US09001010600,"Census Tract 106, Fairfield County, Connecticut",1884,1884,0,0
1400000US09001010700,"Census Tract 107, Fairfield County, Connecticut",3573,3573,0,0
1400000US09001010800,"Census Tract 108, Fairfield County, Connecticut",3135,3135,0,0
1400000US09001010900,"Census Tract 109, Fairfield County, Connecticut",5279,5279,0,0
1400000US09001011000,"Census Tract 110, Fairfield County, Connecticut",5477,5423,54,0
1400000US09001011100,"Census Tract 111, Fairfield County, Connecticut",5049,5049,0,0
1400000US09001011200,"Census Tract 112, Fairfield County, Connecticut",1703,1703,0,0
1400000US09001011300,"Census Tract 113, Fairfield County, Connecticut",2786,2763,23,0
1400000US09001020101,"Census Tract 201.01, Fairfield County, Connecticut",2862,2862,0,0
1400000US09001020102,"Census Tract 201.02, Fairfield County, Connecticut",3988,3988,0,0
1400000US09001020200,"Census Tract 202, Fairfield County, Connecticut",3754,2883,871,0
1400000US09001020301,"Census Tract 203.01, Fairfield County, Connecticut",3829,3806,23,0
1400000US09001020302,"Census Tract 203.02, Fairfield County, Connecticut",3379,3357,22,0
1400000US09001020400,"Census Tract 204, Fairfield County, Connecticut",3611,3611,0,0
1400000US09001020500,"Census Tract 205, Fairfield County, Connecticut",4813,4813,0,0
1400000US09001020600,"Census Tract 206, Fairfield County, Connecticut",4842,4842,0,0
1400000US09001020700,"Census Tract 207, Fairfield County, Connecticut",4170,4170,0,0
1400000US09001020800,"Census Tract 208, Fairfield County, Connecticut",2873,2873,0,0
1400000US09001020900,"Census Tract 209, Fairfield County, Connecticut",5257,5257,0,0
1400000US09001021000,"Census Tract 210, Fairfield County, Connecticut",3559,3559,0,0
1400000US09001021100,"Census Tract 211, Fairfield County, Connecticut",6414,6414,0,0
1400000US09001021200,"Census Tract 212, Fairfield County, Connecticut",4319,4319,0,0
1400000US09001021300,"Census Tract 213, Fairfield County, Connecticut",4781,4781,0,0
1400000US09001021401,"Census Tract 214.01, Fairfield County, Connecticut",3079,3079,0,0
1400000US09001021402,"Census Tract 214.02, Fairfield County, Connecticut",3947,3947,0,0
1400000US09001021501,"Census Tract 215.01, Fairfield County, Connecticut",3955,3955,0,0
1400000US09001021502,"Census Tract 215.02, Fairfield County, Connecticut",2821,2821,0,0
1400000US09001021601,"Census Tract 216.01, Fairfield County, Connecticut",3559,3559,0,0
1400000US09001021602,"Census Tract 216.02, Fairfield County, Connecticut",4536,4536,0,0
1400000US09001021701,"Census Tract 217.01, Fairfield County, Connecticut",3268,3268,0,0
1400000US09001021702,"Census Tract 217.02, Fairfield County, Connecticut",4732,4732,0,0
1400000US09001021801,"Census Tract 218.01, Fairfield County, Connecticut",4720,4720,0,0
1400000US09001021802,"Census Tract 218.02, Fairfield County, Connecticut",5156,5156,0,0
1400000US09001021900,"Census Tract 219, Fairfield County, Connecticut",6341,6326,15,0
1400000US09001022000,"Census Tract 220, Fairfield County, Connecticut",3058,3058,0,0
1400000US09001022101,"Census Tract 221.01, Fairfield County, Connecticut",3586,3586,0,0
1400000US09001022102,"Census Tract 221.02, Fairfield County, Connecticut",3943,3943,0,0
1400000US09001022201,"Census Tract 222.01, Fairfield County, Connecticut",3060,3060,0,0
1400000US09001022202,"Census Tract 222.02, Fairfield County, Connecticut",4581,4581,0,0
1400000US09001022300,"Census Tract 223, Fairfield County, Connecticut",6311,6311,0,0
1400000US09001022400,"Census Tract 224, Fairfield County, Connecticut",2366,2366,0,0
1400000US09001030100,"Census Tract 301, Fairfield County, Connecticut",3733,3733,0,0
1400000US09001030200,"Census Tract 302, Fairfield County, Connecticut",3316,3316,0,0
1400000US09001030300,"Census Tract 303, Fairfield County, Connecticut",4425,4425,0,0
1400000US09001030400,"Census Tract 304, Fairfield County, Connecticut",4060,4060,0,0
1400000US09001030500,"Census Tract 305, Fairfield County, Connecticut",5965,5965,0,0
1400000US09001035101,"Census Tract 351.01, Fairfield County, Connecticut",3663,3663,0,0
1400000US09001035102,"Census Tract 351.02, Fairfield County, Connecticut",4259,4259,0,0
1400000US09001035200,"Census Tract 352, Fairfield County, Connecticut",3306,1799,1507,0
1400000US09001035300,"Census Tract 353, Fairfield County, Connecticut",4114,4114,0,0
1400000US09001035400,"Census Tract 354, Fairfield County, Connecticut",5280,4087,1193,0
1400000US09001042500,"Census Tract 425, Fairfield County, Connecticut",3678,3678,0,0
1400000US09001042600,"Census Tract 426, Fairfield County, Connecticut",4053,4053,0,0
1400000US09001042700,"Census Tract 427, Fairfield County, Connecticut",5585,5585,0,0
1400000US09001042800,"Census Tract 428, Fairfield County, Connecticut",4761,4761,0,0
1400000US09001042900,"Census Tract 429, Fairfield County, Connecticut",1593,1593,0,0
1400000US09001043000,"Census Tract 430, Fairfield County, Connecticut",3233,3233,0,0
1400000US09001043100,"Census Tract 431, Fairfield County, Connecticut",4545,4545,0,0
1400000US09001043200,"Census Tract 432, Fairfield County, Connecticut",3081,3081,0,0
1400000US09001043300,"Census Tract 433, Fairfield County, Connecticut",3389,3389,0,0
1400000US09001043400,"Census Tract 434, Fairfield County, Connecticut",4980,4980,0,0
1400000US09001043500,"Census Tract 435, Fairfield County, Connecticut",2713,2713,0,0
1400000US09001043600,"Census Tract 436, Fairfield County, Connecticut",3187,3187,0,0
1400000US09001043700,"Census Tract 437, Fairfield County, Connecticut",3602,3602,0,0
1400000US09001043800,"Census Tract 438, Fairfield County, Connecticut",8083,8083,0,0
1400000US09001043900,"Census Tract 439, Fairfield County, Connecticut",5456,5456,0,0
1400000US09001044000,"Census Tract 440, Fairfield County, Connecticut",6241,6241,0,0
1400000US09001044100,"Census Tract 441, Fairfield County, Connecticut",3479,3479,0,0
1400000US09001044200,"Census Tract 442, Fairfield County, Connecticut",4092,4092,0,0
1400000US09001044300,"Census Tract 443, Fairfield County, Connecticut",4264,4264,0,0
1400000US09001044400,"Census Tract 444, Fairfield County, Connecticut",3536,3527,9,0
1400000US09001044500,"Census Tract 445, Fairfield County, Connecticut",4056,4056,0,0
1400000US09001044600,"Census Tract 446, Fairfield County, Connecticut",3577,3577,0,0
1400000US09001045101,"Census Tract 451.01, Fairfield County, Connecticut",4094,3129,965,0
1400000US09001045102,"Census Tract 451.02, Fairfield County, Connecticut",5885,4355,1530,0
1400000US09001045200,"Census Tract 452, Fairfield County, Connecticut",2720,2720,0,0
1400000US09001045300,"Census Tract 453, Fairfield County, Connecticut",2513,2513,0,0
1400000US09001045400,"Census Tract 454, Fairfield County, Connecticut",3291,3291,0,0
1400000US09001050100,"Census Tract 501, Fairfield County, Connecticut",4070,4070,0,0
1400000US09001050200,"Census Tract 502, Fairfield County, Connecticut",4096,4096,0,0
1400000US09001050301,"Census Tract 503.01, Fairfield County, Connecticut",3977,3977,0,0
1400000US09001050302,"Census Tract 503.02, Fairfield County, Connecticut",4425,4425,0,0
1400000US09001050400,"Census Tract 504, Fairfield County, Connecticut",2444,2444,0,0
1400000US09001050500,"Census Tract 505, Fairfield County, Connecticut",4751,4751,0,0
1400000US09001050600,"Census Tract 506, Fairfield County, Connecticut",3378,3378,0,0
1400000US09001055100,"Census Tract 551, Fairfield County, Connecticut",5837,4211,1626,0
1400000US09001055200,"Census Tract 552, Fairfield County, Connecticut",4517,4406,111,0
1400000US09001060100,"Census Tract 601, Fairfield County, Connecticut",4551,4551,0,0
1400000US09001060200,"Census Tract 602, Fairfield County, Connecticut",4211,4211,0,0
1400000US09001060300,"Census Tract 603, Fairfield County, Connecticut",3986,3669,317,0
1400000US09001060400,"Census Tract 604, Fairfield County, Connecticut",4494,2486,2008,0
1400000US09001060500,"Census Tract 605, Fairfield County, Connecticut",3092,3092,0,0
1400000US09001060600,"Census Tract 606, Fairfield County, Connecticut",2235,2235,0,0
1400000US09001060700,"Census Tract 607, Fairfield County, Connecticut",8087,8087,0,0
1400000US09001060800,"Census Tract 608, Fairfield County, Connecticut",2089,2089,0,0
1400000US09001060900,"Census Tract 609, Fairfield County, Connecticut",2546,2546,0,0
1400000US09001061000,"Census Tract 610, Fairfield County, Connecticut",4060,4060,0,0
1400000US09001061100,"Census Tract 611, Fairfield County, Connecticut",3826,3826,0,0
1400000US09001061200,"Census Tract 612, Fairfield County, Connecticut",2342,2342,0,0
1400000US09001061300,"Census Tract 613, Fairfield County, Connecticut",3031,3031,0,0
1400000US09001061400,"Census Tract 614, Fairfield County, Connecticut",3004,3004,0,0
1400000US09001061500,"Census Tract 615, Fairfield County, Connecticut",4936,4936,0,0
1400000US09001061600,"Census Tract 616, Fairfield County, Connecticut",5022,5022,0,0
1400000US09001070100,"Census Tract 701, Fairfield County, Connecticut",5178,5178,0,0
1400000US09001070200,"Census Tract 702, Fairfield County, Connecticut",3984,3984,0,0
1400000US09001070300,"Census Tract 703, Fairfield County, Connecticut",1359,1359,0,0
1400000US09001070400,"Census Tract 704, Fairfield County, Connecticut",1712,1712,0,0
1400000US09001070500,"Census Tract 705, Fairfield County, Connecticut",1684,1684,0,0
1400000US09001070600,"Census Tract 706, Fairfield County, Connecticut",2795,2795,0,0
1400000US09001070900,"Census Tract 709, Fairfield County, Connecticut",2792,2792,0,0
1400000US09001071000,"Census Tract 710, Fairfield County, Connecticut",3850,3850,0,0
1400000US09001071100,"Census Tract 711, Fairfield County, Connecticut",4623,4623,0,0
1400000US09001071200,"Census Tract 712, Fairfield County, Connecticut",5302,5302,0,0
1400000US09001071300,"Census Tract 713, Fairfield County, Connecticut",3547,3547,0,0
1400000US09001071400,"Census Tract 714, Fairfield County, Connecticut",3876,3876,0,0
1400000US09001071600,"Census Tract 716, Fairfield County, Connecticut",2514,2514,0,0
1400000US09001071900,"Census Tract 719, Fairfield County, Connecticut",4714,4714,0,0
1400000US09001072000,"Census Tract 720, Fairfield County, Connecticut",3699,3699,0,0
1400000US09001072100,"Census Tract 721, Fairfield County, Connecticut",6399,6399,0,0
1400000US09001072200,"Census Tract 722, Fairfield County, Connecticut",3944,3944,0,0
1400000US09001072300,"Census Tract 723, Fairfield County, Connecticut",5404,5404,0,0
1400000US09001072400,"Census Tract 724, Fairfield County, Connecticut",2833,2833,0,0
1400000US09001072500,"Census Tract 725, Fairfield County, Connecticut",5843,5843,0,0
1400000US09001072600,"Census Tract 726, Fairfield County, Connecticut",7746,7746,0,0
1400000US09001072700,"Census Tract 727, Fairfield County, Connecticut",3849,3849,0,0
1400000US09001072800,"Census Tract 728, Fairfield County, Connecticut",5722,5722,0,0
1400000US09001072900,"Census Tract 729, Fairfield County, Connecticut",4849,4849,0,0
1400000US09001073000,"Census Tract 730, Fairfield County, Connecticut",1998,1998,0,0
1400000US09001073100,"Census Tract 731, Fairfield County, Connecticut",4666,4666,0,0
1400000US09001073200,"Census Tract 732, Fairfield County, Connecticut",3765,3765,0,0
1400000US09001073300,"Census Tract 733, Fairfield County, Connecticut",3430,3430,0,0
1400000US09001073400,"Census Tract 734, Fairfield County, Connecticut",3882,3882,0,0
1400000US09001073500,"Census Tract 735, Fairfield County, Connecticut",3613,3613,0,0
1400000US09001073600,"Census Tract 736, Fairfield County, Connecticut",2318,2318,0,0
1400000US09001073700,"Census Tract 737, Fairfield County, Connecticut",5173,5173,0,0
1400000US09001073800,"Census Tract 738, Fairfield County, Connecticut",2375,2375,0,0
1400000US09001073900,"Census Tract 739, Fairfield County, Connecticut",3542,3542,0,0
1400000US09001074000,"Census Tract 740, Fairfield County, Connecticut",2262,2262,0,0
1400000US09001074300,"Census Tract 743, Fairfield County, Connecticut",4652,4652,0,0
1400000US09001074400,"Census Tract 744, Fairfield County, Connecticut",4673,4673,0,0
1400000US09001080100,"Census Tract 801, Fairfield County, Connecticut",4998,4998,0,0
1400000US09001080200,"Census Tract 802, Fairfield County, Connecticut",4446,4446,0,0
1400000US09001080400,"Census Tract 804, Fairfield County, Connecticut",6073,6073,0,0
1400000US09001080500,"Census Tract 805, Fairfield County, Connecticut",3107,3107,0,0
1400000US09001080600,"Census Tract 806, Fairfield County, Connecticut",2533,2533,0,0
1400000US09001080700,"Census Tract 807, Fairfield County, Connecticut",1980,1980,0,0
1400000US09001080800,"Census Tract 808, Fairfield County, Connecticut",4929,4929,0,0
1400000US09001080900,"Census Tract 809, Fairfield County, Connecticut",4897,4897,0,0
1400000US09001081000,"Census Tract 810, Fairfield County, Connecticut",4359,4359,0,0
1400000US09001081100,"Census Tract 811, Fairfield County, Connecticut",4767,4767,0,0
1400000US09001081200,"Census Tract 812, Fairfield County, Connecticut",5247,5247,0,0
1400000US09001081300,"Census Tract 813, Fairfield County, Connecticut",5019,5019,0,0
1400000US09001090100,"Census Tract 901, Fairfield County, Connecticut",3305,3305,0,0
1400000US09001090200,"Census Tract 902, Fairfield County, Connecticut",8152,8152,0,0
1400000US09001090300,"Census Tract 903, Fairfield County, Connecticut",4681,4681,0,0
1400000US09001090400,"Census Tract 904, Fairfield County, Connecticut",6714,6714,0,0
1400000US09001090500,"Census Tract 905, Fairfield County, Connecticut",4814,4814,0,0
1400000US09001090600,"Census Tract 906, Fairfield County, Connecticut",3578,3578,0,0
1400000US09001090700,"Census Tract 907, Fairfield County, Connecticut",5583,5583,0,0
1400000US09001100100,"Census Tract 1001, Fairfield County, Connecticut",5583,4970,613,0
1400000US09001100200,"Census Tract 1002, Fairfield County, Connecticut",6749,6749,0,0
1400000US09001100300,"Census Tract 1003, Fairfield County, Connecticut",6493,4915,1578,0
1400000US09001105100,"Census Tract 1051, Fairfield County, Connecticut",4220,2810,1410,0
1400000US09001105200,"Census Tract 1052, Fairfield County, Connecticut",3385,0,3385,0
1400000US09001110100,"Census Tract 1101, Fairfield County, Connecticut",2682,2682,0,0
1400000US09001110201,"Census Tract 1102.01, Fairfield County, Connecticut",4763,4763,0,0
1400000US09001110202,"Census Tract 1102.02, Fairfield County, Connecticut",5078,5078,0,0
1400000US09001110301,"Census Tract 1103.01, Fairfield County, Connecticut",6428,6428,0,0
1400000US09001110302,"Census Tract 1103.02, Fairfield County, Connecticut",3355,3355,0,0
1400000US09001110400,"Census Tract 1104, Fairfield County, Connecticut",5051,5051,0,0
1400000US09001110500,"Census Tract 1105, Fairfield County, Connecticut",5561,5561,0,0
1400000US09001110601,"Census Tract 1106.01, Fairfield County, Connecticut",2907,2907,0,0
1400000US09001110602,"Census Tract 1106.02, Fairfield County, Connecticut",5044,5044,0,0
1400000US09001200100,"Census Tract 2001, Fairfield County, Connecticut",4039,4003,36,0
1400000US09001200200,"Census Tract 2002, Fairfield County, Connecticut",5788,5788,0,0
1400000US09001200301,"Census Tract 2003.01, Fairfield County, Connecticut",5263,5263,0,0
1400000US09001200302,"Census Tract 2003.02, Fairfield County, Connecticut",5268,4163,1105,0
1400000US09001205100,"Census Tract 2051, Fairfield County, Connecticut",4413,4413,0,0
1400000US09001205200,"Census Tract 2052, Fairfield County, Connecticut",7015,6620,395,0
1400000US09001205300,"Census Tract 2053, Fairfield County, Connecticut",6100,6100,0,0
1400000US09001210101,"Census Tract 2101.01, Fairfield County, Connecticut",2773,2773,0,0
1400000US09001210102,"Census Tract 2101.02, Fairfield County, Connecticut",3246,3246,0,0
1400000US09001210201,"Census Tract 2102.01, Fairfield County, Connecticut",3533,3533,0,0
1400000US09001210202,"Census Tract 2102.02, Fairfield County, Connecticut",3437,3437,0,0
1400000US09001210300,"Census Tract 2103, Fairfield County, Connecticut",6114,6114,0,0
1400000US09001210401,"Census Tract 2104.01, Fairfield County, Connecticut",4594,4594,0,0
1400000US09001210402,"Census Tract 2104.02, Fairfield County, Connecticut",4433,4433,0,0
1400000US09001210501,"Census Tract 2105.01, Fairfield County, Connecticut",3207,1573,1634,0
1400000US09001210502,"Census Tract 2105.02, Fairfield County, Connecticut",6528,6092,436,0
1400000US09001210600,"Census Tract 2106, Fairfield County, Connecticut",6623,6623,0,0
1400000US09001210701,"Census Tract 2107.01, Fairfield County, Connecticut",5877,5877,0,0
1400000US09001210702,"Census Tract 2107.02, Fairfield County, Connecticut",3880,3880,0,0
1400000US09001210800,"Census Tract 2108, Fairfield County, Connecticut",6099,5473,626,0
1400000US09001210900,"Census Tract 2109, Fairfield County, Connecticut",5921,5921,0,0
1400000US09001211000,"Census Tract 2110, Fairfield County, Connecticut",4051,4051,0,0
1400000US09001211100,"Census Tract 2111, Fairfield County, Connecticut",1190,1190,0,0
1400000US09001211201,"Census Tract 2112.01, Fairfield County, Connecticut",3630,3630,0,0
1400000US09001211202,"Census Tract 2112.02, Fairfield County, Connecticut",2769,2769,0,0
1400000US09001211300,"Census Tract 2113, Fairfield County, Connecticut",3549,3549,0,0
1400000US09001211400,"Census Tract 2114, Fairfield County, Connecticut",5064,5064,0,0
1400000US09001220100,"Census Tract 2201, Fairfield County, Connecticut",4912,4912,0,0
1400000US09001220200,"Census Tract 2202, Fairfield County, Connecticut",4873,3031,1842,0
1400000US09001220300,"Census Tract 2203, Fairfield County, Connecticut",3794,3625,169,0
1400000US09001230100,"Census Tract 2301, Fairfield County, Connecticut",7351,4642,2709,0
1400000US09001230200,"Census Tract 2302, Fairfield County, Connecticut",1914,1802,112,0
1400000US09001230300,"Census Tract 2303, Fairfield County, Connecticut",3490,1659,1831,0
1400000US09001230400,"Census Tract 2304, Fairfield County, Connecticut",5579,2401,3178,0
1400000US09001230501,"Census Tract 2305.01, Fairfield County, Connecticut",3942,1697,2245,0
1400000US09001230502,"Census Tract 2305.02, Fairfield County, Connecticut",4897,2843,2054,0
1400000US09001240100,"Census Tract 2401, Fairfield County, Connecticut",4294,1629,2665,0
1400000US09001240200,"Census Tract 2402, Fairfield County, Connecticut",4471,261,4210,0
1400000US09001245100,"Census Tract 2451, Fairfield County, Connecticut",2879,2873,6,0
1400000US09001245200,"Census Tract 2452, Fairfield County, Connecticut",4463,3918,545,0
1400000US09001245300,"Census Tract 2453, Fairfield County, Connecticut",5362,5312,50,0
1400000US09001245400,"Census Tract 2454, Fairfield County, Connecticut",3404,3149,255,0
1400000US09001245500,"Census Tract 2455, Fairfield County, Connecticut",2952,2599,353,0
1400000US09001245600,"Census Tract 2456, Fairfield County, Connecticut",5973,4657,1316,0
1400000US09001257100,"Census Tract 2571, Fairfield County, Connecticut",3527,777,2750,0
1400000US09001257200,"Census Tract 2572, Fairfield County, Connecticut",4087,4087,0,0
1400000US09001990000,"Census Tract 9900, Fairfield County, Connecticut",0,0,0,0
1400000US09003330100,"Census Tract 3301, Hartford County, Connecticut",1901,0,1901,0
1400000US09003400101,"Census Tract 4001.01, Hartford County, Connecticut",2928,2928,0,0
1400000US09003400102,"Census Tract 4001.02, Hartford County, Connecticut",4299,4299,0,0
1400000US09003400200,"Census Tract 4002, Hartford County, Connecticut",5997,4365,1632,0
1400000US09003400300,"Census Tract 4003, Hartford County, Connecticut",6951,6179,772,0
1400000US09003405100,"Census Tract 4051, Hartford County, Connecticut",3164,3164,0,0
1400000US09003405200,"Census Tract 4052, Hartford County, Connecticut",4225,4225,0,0
1400000US09003405300,"Census Tract 4053, Hartford County, Connecticut",6105,6105,0,0
1400000US09003405401,"Census Tract 4054.01, Hartford County, Connecticut",3421,3421,0,0
1400000US09003405402,"Census Tract 4054.02, Hartford County, Connecticut",4257,4257,0,0
1400000US09003405500,"Census Tract 4055, Hartford County, Connecticut",5266,5266,0,0
1400000US09003405600,"Census Tract 4056, Hartford County, Connecticut",7398,7398,0,0
1400000US09003405700,"Census Tract 4057, Hartford County, Connecticut",2061,2061,0,0
1400000US09003405801,"Census Tract 4058.01, Hartford County, Connecticut",3176,3176,0,0
1400000US09003405802,"Census Tract 4058.02, Hartford County, Connecticut",4172,4122,50,0
1400000US09003405900,"Census Tract 4059, Hartford County, Connecticut",4647,4647,0,0
1400000US09003406001,"Census Tract 4060.01, Hartford County, Connecticut",4113,4113,0,0
1400000US09003406002,"Census Tract 4060.02, Hartford County, Connecticut",4754,4754,0,0
1400000US09003406100,"Census Tract 4061, Hartford County, Connecticut",4074,4074,0,0
1400000US09003410101,"Census Tract 4101.01, Hartford County, Connecticut",5285,1585,3700,0
1400000US09003410102,"Census Tract 4101.02, Hartford County, Connecticut",4234,313,3921,0
1400000US09003415300,"Census Tract 4153, Hartford County, Connecticut",2521,2521,0,0
1400000US09003415400,"Census Tract 4154, Hartford County, Connecticut",6179,6179,0,0
1400000US09003415500,"Census Tract 4155, Hartford County, Connecticut",3094,3094,0,0
1400000US09003415600,"Census Tract 4156, Hartford County, Connecticut",4198,4198,0,0
1400000US09003415700,"Census Tract 4157, Hartford County, Connecticut",3256,3256,0,0
1400000US09003415800,"Census Tract 4158, Hartford County, Connecticut",2873,2873,0,0
1400000US09003415900,"Census Tract 4159, Hartford County, Connecticut",1647,1647,0,0
1400000US09003416000,"Census Tract 4160, Hartford County, Connecticut",4537,4537,0,0
1400000US09003416100,"Census Tract 4161, Hartford County, Connecticut",4955,4955,0,0
1400000US09003416200,"Census Tract 4162, Hartford County, Connecticut",3025,3025,0,0
1400000US09003416300,"Census Tract 4163, Hartford County, Connecticut",3810,3810,0,0
1400000US09003416400,"Census Tract 4164, Hartford County, Connecticut",3152,3105,47,0
1400000US09003416500,"Census Tract 4165, Hartford County, Connecticut",4833,4833,0,0
1400000US09003416600,"Census Tract 4166, Hartford County, Connecticut",3150,3150,0,0
1400000US09003416700,"Census Tract 4167, Hartford County, Connecticut",6877,6877,0,0
1400000US09003416800,"Census Tract 4168, Hartford County, Connecticut",3079,3079,0,0
1400000US09003417100,"Census Tract 4171, Hartford County, Connecticut",1857,1857,0,0
1400000US09003417200,"Census Tract 4172, Hartford County, Connecticut",1702,1702,0,0
1400000US09003417300,"Census Tract 4173, Hartford County, Connecticut",2045,2045,0,0
1400000US09003417400,"Census Tract 4174, Hartford County, Connecticut",3012,3012,0,0
1400000US09003417500,"Census Tract 4175, Hartford County, Connecticut",4333,4333,0,0
1400000US09003420400,"Census Tract 4204, Hartford County, Connecticut",3021,3021,0,0
1400000US09003420500,"Census Tract 4205, Hartford County, Connecticut",5321,5321,0,0
1400000US09003420601,"Census Tract 4206.01, Hartford County, Connecticut",2596,2596,0,0
1400000US09003420602,"Census Tract 4206.02, Hartford County, Connecticut",3224,3224,0,0
1400000US09003420700,"Census Tract 4207, Hartford County, Connecticut",3363,3008,355,0
1400000US09003430100,"Census Tract 4301, Hartford County, Connecticut",4141,4141,0,0
1400000US09003430201,"Census Tract 4302.01, Hartford County, Connecticut",3373,3373,0,0
1400000US09003430202,"Census Tract 4302.02, Hartford County, Connecticut",4616,4478,138,0
1400000US09003430203,"Census Tract 4302.03, Hartford County, Connecticut",4024,4024,0,0
1400000US09003430301,"Census Tract 4303.01, Hartford County, Connecticut",3855,3797,58,0
1400000US09003430302,"Census Tract 4303.02, Hartford County, Connecticut",2878,2878,0,0
1400000US09003430400,"Census Tract 4304, Hartford County, Connecticut",5092,4887,205,0
1400000US09003430501,"Census Tract 4305.01, Hartford County, Connecticut",1705,1705,0,0
1400000US09003430502,"Census Tract 4305.02, Hartford County, Connecticut",5157,4751,406,0
1400000US09003430602,"Census Tract 4306.02, Hartford County, Connecticut",3451,3451,0,0
1400000US09003430603,"Census Tract 4306.03, Hartford County, Connecticut",2170,2170,0,0
1400000US09003430604,"Census Tract 4306.04, Hartford County, Connecticut",3039,2654,385,0
1400000US09003460100,"Census Tract 4601, Hartford County, Connecticut",3441,3441,0,0
1400000US09003460202,"Census Tract 4602.02, Hartford County, Connecticut",4820,4578,242,0
1400000US09003460203,"Census Tract 4602.03, Hartford County, Connecticut",3313,3292,21,0
1400000US09003460204,"Census Tract 4602.04, Hartford County, Connecticut",6190,6190,0,0
1400000US09003460301,"Census Tract 4603.01, Hartford County, Connecticut",5025,5025,0,0
1400000US09003460302,"Census Tract 4603.02, Hartford County, Connecticut",3923,3876,47,0
1400000US09003462101,"Census Tract 4621.01, Hartford County, Connecticut",6151,6151,0,0
1400000US09003462102,"Census Tract 4621.02, Hartford County, Connecticut",4391,4391,0,0
1400000US09003462201,"Census Tract 4622.01, Hartford County, Connecticut",5439,5323,116,0
